source,outlet_type,title,date,url,article_text,word_count,scraped_at,processed_text,processed_word_count
citinewsroom,private (online),NPP amends Constitution to address 2024 election defeat,,https://citinewsroom.com/2025/12/npp-amends-constitution-to-address-2024-election-defeat/,"The New Patriotic Party (NPP) has revised its party constitution to establish a strategic framework aimed at addressing factors that contributed to its loss in the 2024 General Elections. At the launch of the amended constitution on Wednesday, December 3, 2025, General Secretary Justin Kodua Frimpong highlighted member neglect and a breakdown in communication strategy as key reasons behind the party’s defeat. “Many of the issues that culminated in our loss in the 2024 election have been addressed in this amendment,” he said, noting that voter apathy and dissatisfaction among former party executives significantly influenced the outcome. To tackle these challenges, the NPP has expanded its electoral college, granting former executives at both district and national levels voting rights. “We all know that one of the reasons why we did not get the needed vote to win the election was voter apathy, and it also stemmed from the fact that there were several former party executives who felt that they were neglected. “But in our current constitution, we have expanded our electoral college to make room for our former executives at the district level and the national level to have a voting right. All of these are to address the issue of apathy in our party.” Kodua also acknowledged criticism of the party’s communication strategy, noting that despite numerous achievements, a lack of coordination among communication directors hampered effective messaging. “Another reason why we lost is that many people criticised our party’s communication. We had done so much, but we were not communicating them, and there was no coordination among the various communication directors,” he added. The General Secretary emphasised that the amendments reflect lessons learned from the 2024 elections and are intended to strengthen party structures, engagement, and messaging ahead of future electoral contests. NDC failing in galamsey fight, abusing state power – NPP",305,2026-03-26 23:27:16.460040,patriotic party npp revised party constitution establish strategic framework aimed addressing factors contributed loss general elections launch amended constitution wednesday december general secretary justin kodua frimpong highlighted member neglect breakdown communication strategy key reasons behind party defeat issues culminated loss election addressed amendment noting voter apathy dissatisfaction among former party executives significantly influenced outcome tackle challenges npp expanded electoral college granting former executives district national levels voting rights know reasons get needed vote win election voter apathy stemmed fact several former party executives felt neglected current constitution expanded electoral college make room former executives district level national level voting right address issue apathy party kodua acknowledged criticism party communication strategy noting despite numerous achievements lack coordination among communication directors hampered effective messaging another reason lost people criticised party communication done communicating coordination among various communication directors general secretary emphasised amendments reflect lessons learned elections intended strengthen party structures engagement messaging ahead future electoral contests ndc failing galamsey fight abusing state power npp,162
citinewsroom,private (online),"Interior Minister urges compensation for 2020, 2024 election victims",,https://citinewsroom.com/2025/11/interior-minister-urges-compensation-for-2020-2024-election-victims/,"The Minister for the Interior, Muntaka Mohammed-Mubarak, has called on the state to take responsibility for compensating the families of persons who lost their lives in election-related violence during the 2020 and 2024 general elections. His remarks follow the submission of two separate reports by the Inspector-General of Police (IGP), Christian Tetteh Yohuno, to President John Dramani Mahama, after a directive from government to provide full updates on investigations into the incidents. Addressing the press on the findings of the reports, the Minister revealed that a total of 12 violent incidents were recorded across the two election years, resulting in 15 deaths and over 40 injuries. The affected regions included Bono East, Greater Accra, Bono, Savannah, and the Northern Region. According to the Minister, 21 suspects have so far been identified, with 11 new dockets opened. Four suspects are currently in police custody, while five others have been remanded. He also disclosed that 50 military personnel were questioned during the investigations. A warrant has been secured to arrest additional suspects who are still at large. Updating the media on specific cases, the Minister noted that in the 2024 Awutu Senya incident, the election security task force is now engaging directly with the victim’s family. In another development, he has directed the Tolon District Police Command to immediately arrest a key suspect, Alhaji Yakubu, and his alleged accomplices. He also ordered the release and discharge of six individuals who were earlier arrested during an initial swoop but were later found to be wrongfully detained. He added that the Ministry will soon conduct forensic and ballistic analysis to support the ongoing investigations. Muntaka Mohammed-Mubarak further assured the public that the government remains committed to upholding the rule of law and ensuring that all persons culpable in the election violence are held accountable.",300,2026-03-26 23:27:20.232792,minister interior muntaka mohammed mubarak called state take responsibility compensating families persons lost lives election related violence general elections remarks follow submission separate reports inspector general police igp christian tetteh yohuno president john dramani mahama directive government provide full updates investigations incidents addressing press findings reports minister revealed total violent incidents recorded across election years resulting deaths injuries affected regions included bono east greater accra bono savannah northern region minister suspects far identified dockets opened four suspects currently police custody five others remanded disclosed military personnel questioned investigations warrant secured arrest additional suspects large updating media specific cases minister noted awutu senya incident election security task force engaging directly victim family another development directed tolon district police command immediately arrest key suspect alhaji yakubu alleged accomplices ordered release discharge six individuals earlier arrested initial swoop later found wrongfully detained ministry soon conduct forensic ballistic analysis support ongoing investigations muntaka mohammed mubarak assured public government remains committed upholding rule law ensuring persons culpable election violence held accountable,166
citinewsroom,private (online),"Police, military blamed for 7 deaths in 2020, 2024 election clashes – Muntaka",,https://citinewsroom.com/2025/11/police-military-blamed-for-7-deaths-in-2020-2024-election-clashes-muntaka/,"The Minister for the Interior, Muntaka Mohammed Mubarak, has revealed that investigations into the 2020 and 2024 election-related violence have established that police and military personnel were responsible for seven of the 15 deaths recorded nationwide. Providing an update on the government’s review of election violence cases on Tuesday, November 4, the Minister explained that the incidents occurred during security operations intended to restore order at various polling and collation centres. “Investigation into one of the cases during the 2020 General Election at Odododiodio was completed. The Attorney-General is currently prosecuting three persons who are standing trial at the High Court, Criminal Division, Accra. “The investigation established that three of the cases resulting in four deaths are traceable to the use of a firearm by armed police patrol teams. Military personnel were also found to be responsible for three of the cases resulting in the death of three persons when they intervened to restore calm to chaotic crowds,” he said. Mr. Muntaka explained that the findings were part of a broader report submitted by a Special Investigation Task Force constituted to probe all fatal incidents linked to the 2020 and 2024 elections. The task force reviewed police dockets, conducted forensic and ballistic analyses, and carried out field inspections to establish the circumstances of the deaths. He added that while some of the fatalities were caused by political clashes among party supporters, the role of security officers in several deaths could not be ignored and would be addressed in accordance with the law. AG prosecuting three suspects over Odododiodio election violence — Interior Minister",263,2026-03-26 23:27:23.904443,minister interior muntaka mohammed mubarak revealed investigations election related violence established police military personnel responsible seven deaths recorded nationwide providing update government review election violence cases tuesday november minister explained incidents occurred security operations intended restore order various polling collation centres investigation cases general election odododiodio completed attorney general currently prosecuting three persons standing trial high court criminal division accra investigation established three cases resulting four deaths traceable use firearm armed police patrol teams military personnel found responsible three cases resulting death three persons intervened restore calm chaotic crowds muntaka explained findings part broader report submitted special investigation task force constituted probe fatal incidents linked elections task force reviewed police dockets conducted forensic ballistic analyses carried field inspections establish circumstances deaths fatalities caused political clashes among party supporters role security officers several deaths ignored addressed accordance law prosecuting three suspects odododiodio election violence interior minister,145
